id_movie,id_production_companies,name_production_companies,revenue
406,16366,La Sept Cinéma,0
406,22684,Kasso Inc. Productions,0
406,68517,Studio Image,0
406,68518,Cofinergie 6,0
45549,181,Channel Four Films,0
63076,3324,British Broadcasting Corporation (BBC),0
63076,7025,Westdeutscher Rundfunk (WDR),0
63076,12113,Canadian Broadcasting Corporation (CBC),0
63076,12911,Cinemax Reel Life,0
63076,12912,InPictures,0
63076,12913,Lafayette Films,0
11062,5,Columbia Pictures,0
11062,97,Castle Rock Entertainment,0
13685,18,Gracie Films,560069
13685,441,Columbia Pictures Corporation,560069
47475,9195,Touchstone Pictures,0
2045,8411,Metro-Goldwyn-Mayer (MGM),0
2045,10308,Dino De Laurentiis Company,0
2045,10355,Spelling Films,0
9614,33,Universal Pictures,41205099
9614,1606,Brillstein-Grey Entertainment,41205099
9614,3929,Robert Simonds Productions,41205099
688,56,Amblin Entertainment,182016617
688,171,Malpaso Productions,182016617
688,6194,Warner Bros.,182016617
10874,2,Walt Disney Pictures,34327391
10874,2504,Jim Henson Productions,34327391
10874,6254,"Jim Henson Company, The",34327391
197,4564,Icon Entertainment International,210000000
197,7965,The Ladd Company,210000000
197,11353,B.H. Finance C.V.,210000000
103,441,Columbia Pictures Corporation,28262574
103,46059,Italo/Judeo Productions,28262574
103,46060,Bill/Phillips,28262574
33542,12,New Line Cinema,32392047
33542,2521,Golden Harvest Company,32392047
43566,175,Caravan Pictures,0
43566,915,Hollywood Pictures,0
71754,806,Téléfilm Canada,0
71754,2055,Skyline Films,0
71754,3498,Malofilm,0
71754,9116,Société de Développement des Entreprises Culturelles (SODEC),0
71754,12745,British Screen Productions,0
71754,17027,National Film Board of Canada (NFB),0
71754,22150,imX Communications,0
71754,38673,Glace Bay Pictures,0
71754,38674,Ciné Télé Action,0
71754,40534,Nova Scotia Film Development Corporation,0
71754,85045,Ranfilm,0
43612,83,France 2 Cinéma,0
43612,591,France 3 Cinéma,0
43612,694,StudioCanal,0
43612,883,Les Productions du Champ Poirier,0
43612,885,Téléma Productions,0
16934,3236,Bavaria Film and Television Fund,0
10324,559,TriStar Pictures,0
10324,11061,Motion Picture Corporation of America (MPCA),0
78406,11308,Savoy Pictures,6278139
55731,559,TriStar Pictures,0
11066,4,Paramount Pictures,70100000
11104,540,Jet Tone Production,0
11104,10932,The Criterion Collection,0
