id_movie,name_collection,revenue
30497,Texas Chainsaw Massacre Collection,30859000
16337,Texas Chainsaw Massacre Collection,8025872
25018,Texas Chainsaw Massacre Collection,5765562
16780,Texas Chainsaw Massacre Collection,185898
9671,Crocodile Dundee Collection,328203506
9396,Crocodile Dundee Collection,239606210
11873,The Hustler Collection,52293982
8224,8Mm Collection,96618699
8913,Pet Sematary Collection,57469467
10906,Pet Sematary Collection,17092453
25748,Children Of The Corn Collection,6980986
25749,Children Of The Corn Collection,0
10671,Airport Collection,100489151
27932,Airport Collection,47000000
7227,Airport Collection,30000000
33518,Alligator Collection,0
2362,Westworld Collection,0
871,Planet Of The Apes Original Collection,33395426
1685,Planet Of The Apes Original Collection,18999718
1705,Planet Of The Apes Original Collection,8844595
1688,Planet Of The Apes Original Collection,9700000
1687,Planet Of The Apes Original Collection,12348905
29723,Airport Collection,13015688
31638,The Poseidon Adventure Collection,0
9535,Analyze Collection,176885658
796,Cruel Intentions Collection,75902208
7341,Carrie Collection,17762705
603,The Matrix Collection,463517383
564,The Mummy Collection,415885488
9460,The Black Mask Collection,0
1893,Star Wars Collection,924317558
15849,The Mummy (Universal Series),0
18990,The Mummy (Hammer Series),0
29242,The Mummy (Universal Series),0
29243,The Mummy (Universal Series),0
31498,The Mummy (Universal Series),0
29239,The Mummy (Universal Series),0
1924,Superman Collection,300218018
8536,Superman Collection,190458706
9531,Superman Collection,75850624
11411,Superman Collection,19300000
138,Dracula (Universal Series),1012189
30793,Dracula (Universal Series),0
3103,Frankenstein (Universal Series),0
3035,Frankenstein (Universal Series),12000000
3077,Frankenstein (Universal Series),0
3074,Frankenstein (Universal Series),0
3076,The Wolf Man (Universal Series),0
3079,Frankenstein (Hammer Series),0
32023,Dracula (Universal Series),0
13666,The Wolf Man (Universal Series),0
29794,The Howling Collection,0
36685,Rocky Horror Collection,112892319
17918,Swamp Thing Collection,0
817,Austin Powers Collection,310940086
37135,Tarzan (Animation) Collection,448000000
2105,American Pie Collection,235483004
10239,Tales Of The Four Seasons,0
10208,The Muppet Collection,16290976
2667,Blair Witch Collection,248000000
9825,Lake Placid Collection,56870414
620,Ghostbusters Collection,295212467
2978,Ghostbusters Collection,215394738
332,Inspector Gadget Collection,0
147,The Adventures Of Antoine Doinel,0
9710,Allan Quatermain Collection,0
10766,The Omen Collection,26518355
10768,The Omen Collection,20471382
813,Airplane Collection,83453539
2665,Airplane Collection,27150534
11077,Problem Child Collection,0
28597,Problem Child Collection,0
850,A Christmas Story Collection,19294144
10366,Universal Soldier Collection,10667893
9349,Universal Soldier Collection,0
11037,Iron Eagle Collection,0
11955,Iron Eagle Collection,0
2038,Iron Eagle Collection,0
28737,Iron Eagle Collection,0
91893,The Spiders Serial,0
11601,Stir Of Echoes Collection,21133087
11797,Fright Night Collection,24922237
18086,Fright Night Collection,2983784
10975,Armour Of God Collection,0
10974,Armour Of God Collection,0
9638,Phantasm Collection,11988469
10576,Psycho Collection,34725000
12662,Psycho Collection,14481606
11230,Drunken Master Collection,0
1654,The Dirty Dozen Collection,45300000
658,James Bond Collection,124881062
657,James Bond Collection,78898765
646,James Bond Collection,59600000
5689,The Blue Lagoon Collection,58853106
391,The Man With No Name Collection,14500000
772,Home Alone Collection,358991681
65448,Penitenciaría - Colección,0
65452,Penitenciaría - Colección,0
29064,Omega Code Series,2400000
10496,Bats Collection,10
16162,The Best Man Collection,34573780
15247,Harry Palmer Collection,0
29251,On Any Sunday Collection,0
5548,Robocop Collection,53000000
5549,Robocop Collection,45681173
699,James Bond Collection,195312802
709,James Bond Collection,156167015
253,James Bond Collection,161777836
660,James Bond Collection,141195658
11377,House On Haunted Hill Collection,40846082
18111,Re-Animator Collection,0
16281,Creepshow Collection,21028755
16288,Creepshow Collection,14000000
1694,Re-Animator Collection,2023414
24831,Piranha Collection,0
37853,Mister Roberts Collection,0
14035,Meatballs Collection,0
40771,Meatballs Collection,0
40772,Meatballs Collection,0
40773,Meatballs Collection,0
10228,Pokémon Collection,163644662
11663,Barrytown Trilogy,0
9264,Poison Ivy Collection,0
18222,Poison Ivy Collection,0
20565,The Up Series,0
36643,James Bond Collection,361832400
863,Toy Story Collection,497366869
32669,The Jake Gittes Collection,10000000
10402,Deuce Bigalow Collection,65535067
25188,The Last Picture Show Collection,29133000
15515,The Sinbad Collection,0
10137,Stuart Little Collection,300135367
49948,Fantasia Collection,90874570
10471,Friday Collection,59827328
14919,Batman (Dc Universe Animated) Collection,5617391
2005,Sister Act Collection,231605150
6279,Sister Act Collection,57319029
9869,The Jack Ryan Collection,178051587
9367,Mexico Trilogy,2040920
16562,The Cutting Edge Collection,25105517
4234,Scream Collection,161834276
9605,Single White Female Collection,48017402
8374,The Boondock Saints Collection,30471
25934,"To Sir, With Love Collection",0
2787,The Chronicles Of Riddick Collection,53187659
2069,The Whole Nine/Ten Yards Collection,106371651
10839,Cross Of Iron Collection,0
838,American Graffiti Collection,140000000
11176,The Muppet Collection,76657000
11899,The Muppet Collection,0
9532,Final Destination Collection,53302314
13939,Death Wish Collection,22000000
14373,Death Wish Collection,45000000
24873,Death Wish Collection,16945171
26263,Death Wish Collection,0
34746,Death Wish Collection,1702394
1498,Teenage Mutant Ninja Turtles (Original) Collection,202000000
1497,Teenage Mutant Ninja Turtles (Original) Collection,78000000
1499,Teenage Mutant Ninja Turtles (Original) Collection,42000000
11690,Bloodsport Collection,11806119
11520,Grumpy Old Men Collection,0
990,The Hustler Collection,7600000
11478,The Skulls Collection,35007180
11356,The Odd Couple Collection,44527234
17339,Navarone Collection,7230000
26879,Beach Party Collection,0
13665,Arthur Collection,95461682
12309,Bachelor Party Collection,38435947
106,Predator Collection,98235548
1359,American Psycho Collection,34266564
10557,East Is East Collection,28200000
11977,Caddyshack Collection,39846344
9456,The Crow Collection,0
889,The Flintstones (Live-Action) Collection,59468275
452,Heart Of Gold Collection,7235
39283,Carnosaur Collection,1753979
65460,Carnosaur Collection,0
55667,Carnosaur Collection,0
12476,Hidden Collection,0
16395,The Three Mothers Collection,0
5608,Die Nibelungen Filmreihe,0
10560,Center Stage Collection,17200925
14906,Caballeros Collection,0
9285,Road Trip Collection,119754278
955,Mission: Impossible Collection,546388105
8584,Shanghai Noon Collection,56932305
668,James Bond Collection,81974493
691,James Bond Collection,185438673
698,James Bond Collection,210308099
682,James Bond Collection,97572000
21,The Endless Summer Collection,0
10911,Navarone Collection,28900000
26912,Quatermass (Hammer Series),0
26278,Quatermass (Hammer Series),0
26953,Puppet Master Collection,0
26954,Puppet Master Collection,0
26956,Puppet Master Collection,0
26957,Puppet Master Collection,0
26958,Puppet Master Collection,0
26959,Puppet Master Collection,0
26960,Puppet Master Collection,0
23069,The Benji Collection,0
21299,The Benji Collection,0
38802,The Benji Collection,0
21137,The Decline Of Western Civilization Collection,0
36724,The Decline Of Western Civilization Collection,0
938,The Man With No Name Collection,15000000
10648,Dirty Harry Collection,39768000
15239,The Toxic Avenger Collection,0
28165,The Toxic Avenger Collection,0
28169,The Toxic Avenger Collection,0
169,Predator Collection,57120318
10128,Alien Nation Collection,32155047
9659,Mad Max Collection,100000000
8810,Mad Max Collection,24600832
9355,Mad Max Collection,36230219
10068,9½ Weeks Collection,6735922
11495,Firestarter Collection,17080167
482,Shaft Collection,12121618
479,Shaft Collection,107196498
9873,F/X Collection,20603715
16820,F/X Collection,0
15379,Missing In Action Collection,22812411
12764,Missing In Action Collection,10755447
27352,Missing In Action Collection,6193901
17897,The Sinbad Collection,11000000
16094,House Party Collection,26386000
16096,House Party Collection,0
11822,Nekromantik Collection,0
494,Shaft Collection,1458000
493,Shaft Collection,10000000
4247,Scary Movie Collection,278019771
36657,X-Men Collection,296339527
12599,Pokémon Collection,133949270
11940,The Sinbad Collection,16000000
12107,The Nutty Professor Collection,123307945
9383,Hollow Man Collection,190213455
15158,Phantasm Collection,7282851
16139,Phantasm Collection,0
16146,Phantasm Collection,0
26515,Pumpkinhead Collection,4385516
13567,Sleepaway Camp Collection,0
20850,"Ilsa, She Wolf Of The Ss Collection",0
8843,The Cell Collection,104155843
10643,Godzilla (Millennium) Collection,10037390
37136,Naked Gun Collection,78756177
37137,Naked Gun Collection,86930411
11398,The Art Of War Collection,30199105
1588,Bring It On Collection,90449929
12211,Highlander Collection,15843608
1698,Anatomy Collection,0
12212,Urban Legend,38574362
16,Heart Of Gold Collection,40031879
9003,Hellraiser Collection,14564027
9064,Hellraiser Collection,12090735
11569,Hellraiser Collection,12534961
26484,Beach Party Collection,0
39113,Beach Party Collection,0
38126,The Fly (1958 Series),0
53617,Beach Party Collection,0
10973,Creature From The Black Lagoon (Universal Series),1300000
