title,text
Richard Iii,Richard LoncraineDrama War
Ricki And The Flash,Jonathan DemmeComedy Drama Music
Ricochet,Russell MulcahyAction Crime Thriller
Riddick,David TwohyScience Fiction Action Thriller
Riddle,John O. HartmanMystery Thriller
Riddle,Nicholas MrossMystery Thriller
Ride,Helen HuntComedy Drama
Ride Along,Tim StoryAction Comedy
Ride Along 2,Tim StoryAction Comedy
Ride With The Devil,Ang LeeDrama War Romance Western
Riders,Gérard PirèsCrime Action Thriller
Ridicule,Patrice LeconteComedy Drama Romance
Riding In Cars With Boys,Penny MarshallComedy Drama Romance
Riding The Bullet,Mick GarrisDrama Horror Thriller
Rififi,Jules DassinDrama Action Crime
Right At Your Door,Chris GorakDrama Thriller
Righteous Kill,Jon AvnetAction Crime Drama Thriller
Rigor Mortis,Juno MakHorror Action Drama
Riki-Oh: The Story Of Ricky,Lam Nai-ChoiComedy Action Thriller
Riley'S First Date?,Josh CooleyAnimation Family
Rings,F. Javier GutiérrezHorror
Ringu,Hideo NakataHorror Thriller
Ringu 0,Norio TsurutaHorror
Ringu 2,Hideo NakataHorror
Rio,Carlos SaldanhaAnimation Adventure Comedy Family
Rio 2,Carlos SaldanhaAnimation Adventure Comedy Family
Rio Bravo,Howard HawksWestern
Rio Grande,John FordWestern
Rio Lobo,Howard HawksWestern
Ripley'S Game,Liliana CavaniCrime Thriller
Rise Of The Footsoldier,Julian GilbeyAction Adventure Crime Drama Thriller
Rise Of The Guardians,Peter RamseyFantasy Animation Family
Rise Of The Legend,Roy Chow Hin-YeungAction Drama
Rise Of The Planet Of The Apes,Rupert WyattThriller Action Drama Science Fiction
Rise: Blood Hunter,Sebastian GutierrezAction Adventure Horror Thriller
Risen,Kevin ReynoldsAction
Rising Sun,Philip KaufmanAction Drama Thriller
Risky Business,Paul BrickmanComedy Romance
River Of No Return,Otto PremingerAdventure Western
River'S Edge,Tim HunterCrime Drama
Ri¢Hie Ri¢H,Donald PetrieComedy Family
Rko 281,Benjamin RossHistory Drama
Road To Paloma,杰森·莫玛Thriller Drama
Road To Perdition,Sam MendesThriller Crime Drama
Road Trip,Todd PhillipsComedy Adventure
Road Trip: Beer Pong,Steve RashComedy
Roadgames,Richard FranklinThriller Horror Mystery
Rob Roy,Michael Caton-JonesAdventure
Rob The Mob,Raymond De FelittaCrime Drama
Rob-B-Hood,Benny ChanDrama Action Comedy
Roberta,William A. SeiterComedy Music Romance
Robin And Marian,Richard LesterAction Adventure Drama Romance
Robin And The 7 Hoods,Gordon DouglasMusic Comedy Crime
Robin Hood,Wolfgang ReithermanAnimation Family
Robin Hood,Ridley ScottAction Adventure
Robin Hood,John IrvinDrama Action Romance
Robin Hood: Men In Tights,Mel BrooksComedy
Robin Hood: Prince Of Thieves,Kevin ReynoldsAdventure
Robin Williams: Live On Broadway,Marty CallnerComedy
Robinson Crusoe,Rod HardyAction Adventure Drama
Robinson Crusoe,George T. MillerAction Adventure Drama
Robinson Crusoe,Ben StassenAdventure Animation Comedy Family
Robinson Crusoe,Vincent KestelootAdventure Animation Comedy Family
Robocop,Paul VerhoevenAction Thriller Science Fiction
Robocop,José PadilhaAction Science Fiction
Robocop 2,Irvin KershnerAction Adventure Crime Science Fiction Thriller
Robocop 3,Fred DekkerAction Adventure Crime Science Fiction Thriller
Robogeisha,Noboru IguchiAction Comedy Horror Science Fiction
Robot & Frank,Jake SchreierScience Fiction Comedy Drama Crime
Robot Chicken: Star Wars,Seth GreenAnimation Comedy Science Fiction
Robot Overlords,Jon WrightAdventure Science Fiction Action
Robots,Chris WedgeAnimation Comedy Family Science Fiction
Robots,Carlos SaldanhaAnimation Comedy Family Science Fiction
Rocco And His Brothers,Luchino ViscontiCrime Drama Thriller
Rock Dog,Ash BrannonAdventure Animation Comedy Family Music
Rock Of Ages,Adam ShankmanComedy Drama Music Romance
Rock Star,Stephen HerekMusic Drama Comedy
Rock The Kasbah,Barry LevinsonComedy Music War
Rock'N Roll,Guillaume CanetComedy Music
Rocketman,Stuart GillardComedy Family Science Fiction
Rocknrolla,Guy RitchieAction Crime Thriller
Rocky,John G. AvildsenDrama
Rocky Balboa,Sylvester StalloneDrama
Rocky Ii,Sylvester StalloneDrama
Rocky Iii,Sylvester StalloneDrama
Rocky Iv,Sylvester StalloneDrama
Rocky V,John G. AvildsenDrama
Roger & Me,Michael MooreDocumentary History
Rogue,Greg McLeanAction Horror Thriller
Rogue One: A Star Wars Story,Gareth EdwardsAction Adventure Science Fiction
Role Models,David WainComedy
Rollerball,Norman JewisonAdventure Action Science Fiction
Rollerball,John McTiernanAction Science Fiction Thriller
Rolling Thunder,John FlynnAction Crime Drama Thriller
Rollover,Alan J. PakulaDrama Mystery Romance Thriller
Roman Holiday,William WylerComedy Romance
Romancing The Stone,Robert ZemeckisAction Adventure Comedy Romance
Romantics Anonymous,Jean-Pierre AmérisDrama Comedy Romance
Romanzo Criminale,Michele PlacidoDrama
Romasanta,Paco PlazaAction Horror
"Rome, Open City",Roberto RosselliniDrama History
Romeo & Juliet,Carlo CarleiDrama Romance
Romeo + Juliet,Baz LuhrmannDrama Romance
Romeo And Juliet,Franco ZeffirelliDrama Romance
Romeo Is Bleeding,Peter MedakAction Crime Drama Thriller
Romeo Must Die,Andrzej BartkowiakAction Crime Thriller
Romper Stomper,Geoffrey WrightAction Drama Thriller
Romy And Michele'S High School Reunion,David MirkinComedy
Ronal The Barbarian,Kresten Vestbjerg AndersenAnimation Adventure Fantasy
Ronal The Barbarian,Thorbjørn ChristoffersenAnimation Adventure Fantasy
Ronal The Barbarian,Philip Einstein LipskiAnimation Adventure Fantasy
Ronaldo,Anthony WonkeHistory Documentary
Ronin,John FrankenheimerAction Thriller Crime Adventure
Ronja Robbersdaughter,Tage DanielssonAdventure Drama Fantasy Family
Rookie Of The Year,Daniel SternComedy Family
Room,Lenny AbrahamsonDrama Thriller
Room 237,Rodney AscherDocumentary
Room In Rome,Julio MédemDrama Romance
Roommates Wanted,François DesagnatComedy
Rooster Cogburn,Stuart MillarWestern
Rope,Alfred HitchcockCrime Drama Mystery Thriller
Rose Red,Craig R. BaxleyDrama Horror Thriller
Rosemary'S Baby,Roman PolanskiHorror Drama Mystery
Rosencrantz & Guildenstern Are Dead,Tom StoppardComedy Drama
Rosewater,Jon StewartDrama
Rough Night,Lucia AnielloDrama Comedy
Rounders,John DahlDrama Crime
Roxanne,Fred SchepisiComedy Romance
Royal Deceit,Gabriel AxelDrama Adventure
Royal Palace,Valérie LemercierComedy
Rrrrrrr!!!,Alain ChabatComedy
Rubber,Quentin DupieuxComedy Drama Fantasy Horror Mystery
Ruby & Quentin,Francis VeberComedy Crime
Ruby Red,Felix FuchssteinerScience Fiction Fantasy Adventure Family
Ruby Sparks,Jonathan DaytonComedy Romance Fantasy Drama
Ruby Sparks,Valerie FarisComedy Romance Fantasy Drama
Rudderless,William H. MacyMusic Drama Comedy
"Rudolph, The Red-Nosed Reindeer",Larry RoemerAnimation Family
Rudy,David AnspaughDrama
Rugrats Go Wild,Norton VirgienAnimation Family
Rugrats Go Wild,John EngAnimation Family
Rugrats In Paris: The Movie,Stig BergqvistAdventure Animation Comedy Family
Rules Don'T Apply,Warren BeattyComedy Drama Romance
Rules Of Engagement,William FriedkinAction Adventure Drama History War
Rumble Fish,Francis Ford CoppolaAction Adventure Crime Drama Romance
Rumble In The Bronx,Stanley TongCrime Action Comedy Thriller
Rumor Has It...,Rob ReinerComedy
Run,Geoff BurrowesAction Thriller Drama
Run All Night,Jaume Collet-SerraAction Crime Drama Mystery Thriller
Run Lola Run,Tom TykwerAction Drama Thriller
"Run, Fatboy, Run",David SchwimmerComedy Romance
Runaway Bride,Garry MarshallComedy Romance
Runaway Jury,Gary FlederDrama Thriller
Runaway Train,Andrei KonchalovskyAction Thriller
Runner Runner,Brad FurmanCrime Thriller Drama
Running On Empty,Sidney LumetDrama
Running Out Of Time,Johnnie ToDrama Action Thriller Crime
Running Scared,Wayne KramerAction Crime Drama Thriller
Running Scared,Peter HyamsThriller Action Comedy Crime
Running With Scissors,Ryan MurphyDrama Comedy
Rupture,Steven ShainbergThriller Science Fiction
Rurouni Kenshin,Keishi OhtomoAction Drama History
Rurouni Kenshin: Kyoto Inferno,Keishi OhtomoAction Adventure Drama
Rurouni Kenshin: The Legend Ends,Keishi OhtomoAction Adventure Drama
Rush,Lili Fini ZanuckCrime Drama
Rush,Ron HowardDrama Action
Rush Hour,Brett RatnerAction Comedy Crime Thriller
Rush Hour 2,Brett RatnerAction Comedy Crime Thriller
Rush Hour 3,Brett RatnerAction Comedy Crime Thriller
Rushlights,Antoni StutzCrime Drama Romance
Rushmore,Wes AndersonComedy Drama
Russian Ark,Alexander SokurovMystery Drama Fantasy History
Russian Dolls,Cédric KlapischComedy Drama Romance
Rust And Bone,Jacques AudiardDrama Romance
Rustom,Tinu Suresh DesaiThriller Romance
Ruthless People,Jim AbrahamsComedy
Ruthless People,David ZuckerComedy
Ruthless People,Jerry ZuckerComedy
Rv,Barry SonnenfeldComedy
Ryan'S Daughter,David LeanDrama Romance
S. Darko,Chris FisherThriller Crime Science Fiction Mystery
S.W.A.T.,Clark JohnsonAction Thriller Crime
S.W.A.T.: Firefight,Benny BoomAction Crime Thriller
S.W.A.T.: Under Siege,Tony GiglioAction Crime Thriller
S1M0Ne,Andrew NiccolComedy Drama Science Fiction
Sabotage,Alfred HitchcockThriller Mystery
Sabotage,David AyerAction Drama Thriller Crime
Saboteur,Alfred HitchcockThriller War
Sabrina,Billy WilderComedy Drama Romance
Sabrina,Sydney PollackComedy Romance
Sabrina The Teenage Witch,Tibor TakácsTV Movie Fantasy Comedy Science Fiction Family
Sacrifice,Damian LeeAction
Sacrifice,Peter A. DowlingThriller
Sadako 3D,Tsutomu HanabusaHorror
Safari,Olivier BarouxAdventure Comedy
Safe,Todd HaynesDrama
Safe,Boaz YakinAction Crime Thriller
Safe Haven,Lasse HallströmRomance
Safe House,Daniel EspinosaAction Thriller
Safe Passage,Robert Allan AckermanDrama
Safelight,Tony AloupisDrama
Safety Last!,Fred C. NewmeyerComedy Romance
Safety Last!,Sam TaylorComedy Romance
Safety Not Guaranteed,Colin TrevorrowComedy Romance Science Fiction Drama
Sahara,Breck EisnerAction Adventure Comedy Drama Mystery
Sahara,Pierre CoréAdventure Animation Comedy Family
Saint Laurent,Bertrand BonelloDrama
Saint Seiya: Legend Of Sanctuary,Keiichi SatoAction Animation Fantasy
Saints And Soldiers,Ryan LittleAction Adventure Drama History War
Saints And Soldiers: Airborne Creed,Ryan LittleDrama
Salem'S Lot,Tobe HooperMystery Horror Thriller
Salem'S Lot,Mikael SalomonHorror Drama Mystery Thriller
Salinger,Shane SalernoDocumentary
Salmon Fishing In The Yemen,Lasse HallströmDrama
Salon Kitty,Tinto BrassDrama
Salt,Phillip NoyceAction Mystery Thriller
Salting The Battlefield,David HareAction Drama Crime
Salton Sea,D.J. CarusoCrime Drama Mystery Thriller
Saludos Amigos,William RobertsAnimation Family
Saludos Amigos,Hamilton LuskeAnimation Family
Saludos Amigos,Wilfred JacksonAnimation Family
Saludos Amigos,Jack KinneyAnimation Family
Salvador,Oliver StoneDrama
"Salò, Or The 120 Days Of Sodom",Pier Paolo PasoliniHistory War Drama Horror
Samantha: An American Girl Holiday,Nadia TassDrama Family
Samba,Eric ToledanoDrama Comedy
Samba,Olivier NakacheDrama Comedy
Same Old Song,Alain ResnaisDrama Comedy Romance
Samsara,Ron FrickeDrama Documentary
San Andreas,Brad PeytonAction Drama Thriller
San Andreas Quake,John BaumgartnerTV Movie Action Science Fiction
Sanctum,Alister GriersonAction Thriller
Sand Castle,Fernando CoimbraDrama War
Sands Of Oblivion,David FloresTV Movie Action Adventure Fantasy
Sandy Wexler,Steven BrillComedy
Sanitarium,Kerry ValderramaHorror Thriller
Sanitarium,Bryan OrtizHorror Thriller
Sanitarium,Bryan RamirezHorror Thriller
Sanjay'S Super Team,Sanjay PatelAnimation
Sanjuro,Akira KurosawaDrama Action Comedy
Sansho The Bailiff,Kenji MizoguchiDrama
Santa Buddies,Robert VinceAdventure
Santa Claus Is A Stinker,Jean-Marie PoiréComedy
Santa Claus: The Movie,Jeannot SzwarcFamily Fantasy Adventure Science Fiction Comedy
Santa Sangre,Alejandro JodorowskyFantasy Horror Mystery
Santa With Muscles,John MurlowskiFamily Comedy
Santa'S Slay,David SteimanComedy Fantasy Horror
Sapphire Blue,Felix FuchssteinerAdventure Family Fantasy
Sapphire Blue,Katharina SchödeAdventure Family Fantasy
Sarah'S Key,Gilles Paquet-BrennerDrama War
Satanic,Jeffrey G. HuntHorror
Satantango,Béla TarrDrama
Saturday Night Fever,John BadhamDrama Music
Saturn 3,Stanley DonenScience Fiction Thriller
Sausage Party,Conrad VernonAdventure Animation Comedy Fantasy
Sausage Party,Greg TiernanAdventure Animation Comedy Fantasy
Savage Grace,Tom KalinDrama
Savaged,Michael S. OjedaAction Drama Horror Thriller
Savages,Oliver StoneCrime Drama Thriller
Save The Green Planet!,Jang Joon-hwanComedy Drama Horror Science Fiction
Save The Last Dance,Thomas CarterDrama Family Romance Music
Save The Last Dance 2,David PetrarcaDrama Family Romance
Saved!,Brian DannellyComedy Drama
Saving General Yang,Ronny YuAction Adventure History
Saving Grace,Nigel ColeCrime Comedy
Saving Mr. Banks,John Lee HancockComedy Drama History
Saving Private Ryan,Steven SpielbergDrama History War
Saving Santa,Aaron SeelmanAnimation Comedy Family
Saving Santa,Leon JoosenAnimation Comedy Family
Saving Silverman,Dennis DuganComedy Crime Romance
Savior,Predrag AntonijevićHistory Drama War
Saw,James WanHorror Mystery Crime
Saw,James WanCrime Horror Thriller
Saw Ii,Darren Lynn BousmanHorror
Saw Iii,Darren Lynn BousmanHorror Thriller Crime
Saw Iv,Darren Lynn BousmanHorror Thriller Crime
Saw V,David HacklHorror Thriller Crime
Saw Vi,Kevin GreutertHorror Mystery
Saw: The Final Chapter,Kevin GreutertHorror Crime
Say Anything...,Cameron CroweComedy Drama Romance
Scanners,David CronenbergHorror Science Fiction Thriller
Scar,Jed WeintrobCrime Horror Thriller
Scaramouche,George SidneyAction Adventure Drama
Scarecrow,Jerry SchatzbergDrama Thriller
Scarecrow,Sheldon WilsonHorror Science Fiction
Scared Shrekless,Raman HuiAnimation Comedy
Scared Shrekless,Gary TrousdaleAnimation Comedy
Scarface,Brian De PalmaAction Crime Drama Thriller
Scarface,Howard HawksAction Adventure Crime Drama Thriller
Scarface,Richard RossonAction Adventure Crime Drama Thriller
Scarlet Street,Fritz LangDrama
Scars Of Dracula,Roy Ward BakerHorror
Scary Movie,Keenen Ivory WayansComedy
Scary Movie 2,Keenen Ivory WayansComedy
Scary Movie 3,David ZuckerComedy
Scary Movie 4,David ZuckerComedy
Scary Movie 5,Malcolm D. LeeComedy
Scenic Route,Kevin GoetzDrama Thriller
Scenic Route,Michael GoetzDrama Thriller
Scent Of A Woman,Martin BrestDrama
Schindler'S List,Steven SpielbergDrama History War
Schlussmacher,Matthias SchweighöferComedy
Schlussmacher,Torsten KünstlerComedy
School Daze,Spike LeeComedy Drama
School For Scoundrels,Todd PhillipsComedy Drama Romance
School Of Rock,Richard LinklaterComedy Music
School Ties,Robert MandelDrama
Science Fiction Volume One: The Osiris Child,Shane AbbessScience Fiction
Scooby-Doo,Raja GosnellMystery Adventure Comedy
Scooby-Doo 2: Monsters Unleashed,Raja GosnellMystery Fantasy Adventure Comedy
Scooby-Doo On Zombie Island,Hiroshi AoyamaAnimation Comedy Family Mystery
Scooby-Doo On Zombie Island,Kazumi FukushimaAnimation Comedy Family Mystery
Scooby-Doo On Zombie Island,Jim StenstrumAnimation Comedy Family Mystery
Scooby-Doo! Abracadabra-Doo,Spike BrandtAnimation Comedy Family Mystery
Scooby-Doo! Abracadabra-Doo,Tony CervoneAnimation Comedy Family Mystery
Scooby-Doo! And The Legend Of The Vampire,Scott JeraldsAnimation Comedy Family
Scooby-Doo! And The Loch Ness Monster,Scott JeraldsAnimation Family Comedy
Scooby-Doo! And The Loch Ness Monster,Joe SichtaAnimation Family Comedy
Scooby-Doo! And The Samurai Sword,Christopher BerkeleyAnimation Comedy Family
Scooby-Doo! And The Witch'S Ghost,Jim StenstrumAnimation Comedy
Scooby-Doo! Curse Of The Lake Monster,Brian LevantMystery Fantasy Comedy Adventure
Scooby-Doo! Frankencreepy,Paul McEvoyMystery Animation Family
Scooby-Doo! In Where'S My Mummy?,Joe SichtaAnimation Thriller Family
Scooby-Doo! Pirates Ahoy!,Chuck SheetzAnimation Comedy Family Mystery
Scooby-Doo! The Mystery Begins,Brian LevantMystery Animation Comedy Fantasy
Scooby-Doo! Wrestlemania Mystery,Brandon ViettiAnimation Comedy Family Mystery
Scoop,Woody AllenComedy Mystery
Scorched,Gavin GrazerComedy Crime
Scorned,Andrew StevensThriller Drama
Scott Pilgrim Vs. The World,Edgar WrightAction Adventure Comedy
Scouts Guide To The Zombie Apocalypse,Christopher B. LandonComedy Horror
Scream,Wes CravenCrime Horror Mystery
Scream 2,Wes CravenHorror Mystery
Scream 3,Wes CravenHorror Mystery
Scream 4,Wes CravenHorror Mystery
Screamers,Christian DuguayHorror Science Fiction
Screamers: The Hunting,Sheldon WilsonAction Horror Science Fiction
Screwed,Scott AlexanderAction Comedy
Screwed,Larry KaraszewskiAction Comedy
Scrooge,Brian Desmond HurstFantasy Drama
Scrooge,Ronald NeameFantasy Drama Family
Scrooged,Richard DonnerFantasy Comedy Drama
Se7En,David FincherCrime Mystery Thriller
Sea Of Love,Harold BeckerDrama Crime Mystery
Seabiscuit,Gary RossDrama History
Seal Team Eight: Behind Enemy Lines,Roel ReinéAction War Drama
Seal Team Six: The Raid On Osama Bin Laden,John StockwellThriller Action Crime Drama
Search Party,Scot ArmstrongComedy
Searching For Bobby Fischer,Steven ZaillianDrama
Searching For Sugar Man,Malik BendjelloulDocumentary Music
Season Of The Witch,Dominic SenaAdventure Fantasy Action
Seattle Superstorm,Jason BourqueAction Science Fiction
Second Chorus,H. C. PotterComedy Romance
Secondhand Lions,Tim McCanliesComedy Drama Family
Seconds,John FrankenheimerMystery Science Fiction Thriller Drama
Secret,Jay ChouFantasy Drama Thriller Documentary
Secret Admirer,David GreenwaltComedy Romance
Secret Agent,Alfred HitchcockThriller
Secret In Their Eyes,Billy RayCrime Drama Mystery
Secret Of The Wings,Peggy HolmesAnimation Family Fantasy Adventure
Secret Of The Wings,Roberts GannawayAnimation Family Fantasy Adventure
Secret Things,Jean-Claude BrisseauDrama
Secret Window,David KoeppThriller Mystery
Secretariat,Randall WallaceDrama
Secretary,Steven ShainbergComedy Drama Romance
Secrets & Lies,Mike LeighDrama
Secrets Of State,Philippe HaïmThriller
Security,Alain DesrochersAction
See No Evil,Gregory DarkHorror Thriller
See No Evil 2,Jen SoskaHorror
See No Evil 2,Sylvia SoskaHorror
"See No Evil, Hear No Evil",Arthur HillerCrime Comedy
See Spot Run,John WhitesellAction Comedy Family
Seed Of Chucky,Don ManciniDrama Horror Comedy
Seeking A Friend For The End Of The World,Lorene ScafariaComedy Drama Romance Science Fiction
Seeking Justice,Roger DonaldsonAction Drama Thriller
Seems Like Old Times,Jay SandrichComedy Romance
Selena,Gregory NavaDrama
Self/Less,Tarsem SinghScience Fiction Mystery Thriller
Selma,Ava DuVernayHistory Drama
Semi-Pro,Kent AltermanComedy
Senior Trip,Kelly MakinComedy
Senna,Asif KapadiaDocumentary
Sense And Sensibility,Ang LeeDrama Romance
Senseless,Penelope SpheerisComedy Romance
Seraphim Falls,David Von AnckenWestern Drama
Serena,Susanne BierDrama
Serendipity,Peter ChelsomComedy Romance
Serenity,Joss WhedonScience Fiction Action Adventure Thriller
Sergeant Rutledge,John FordCrime Western
Serial (Bad) Weddings,Philippe de ChauveronComedy
Serial Killer 1,Frédéric TellierDrama Crime
Serial Mom,John WatersComedy Crime Horror Thriller
Serious Moonlight,Cheryl HinesAction Comedy Romance
Serpico,Sidney LumetCrime Drama History
Serving Sara,Reginald HudlinComedy Romance
Session 9,Brad AndersonHorror Mystery
Set It Off,F. Gary GrayDrama Action Crime
Setup,Mike GuntherAction Crime Drama Thriller
Seven Brides For Seven Brothers,Stanley DonenComedy Drama Western Music
Seven Chances,Buster KeatonComedy Romance
Seven Dwarfs,Sven Unterwaldt Jr.Comedy
Seven Minutes In Heaven,Linda FefermanComedy Drama Romance
Seven Pounds,Gabriele MuccinoDrama
Seven Psychopaths,Martin McDonaghComedy Crime
Seven Samurai,Akira KurosawaAction Drama
Seven Swords,Tsui HarkAction Drama
Seven Thieves,Henry HathawayAction Crime Thriller
Seven Years In Tibet,Jean-Jacques AnnaudAdventure Drama History
Seventh Moon,Eduardo SánchezHorror
Seventh Son,Sergei BodrovAdventure Fantasy
Severance,Christopher SmithHorror Comedy Thriller
Sex And Death 101,Daniel WatersComedy Romance Drama
Sex And Lucia,Julio MédemDrama Romance
Sex And The City,Michael Patrick KingComedy Drama Romance
Sex And The City 2,Michael Patrick KingComedy Drama Romance
Sex Drive,Sean AndersComedy Adventure Romance
Sex Is Zero,Yoon Je-kyoonComedy Drama
Sex Tape,Jake KasdanComedy
"Sex, Lies, And Videotape",Steven SoderberghDrama
"Sex, Love & Therapy",Tonie MarshallComedy Romance
"Sex, Party And Lies",Alfonso AlbaceteComedy Drama
"Sex, Party And Lies",David MenkesComedy Drama
Sexual Chronicles Of A French Family,Jean-Marc BarrComedy Drama
Sexual Chronicles Of A French Family,Pascal ArnoldComedy Drama
Sexual Predator,Rob SperaDrama Thriller
Sexual Predator,Robert AngeloDrama Thriller
Sexy Beast,Jonathan GlazerCrime Drama Thriller
Sexy Evil Genius,Shawn PillerComedy Drama Mystery
Sgt. Bilko,Jonathan LynnComedy Family
Shade,Damian NiemanAction Thriller Crime
Shadow Conspiracy,George P. CosmatosAction Thriller
Shadow Dancer,James MarshThriller
Shadow Man,Michael KeuschAction Adventure Thriller
Shadow Of A Doubt,Alfred HitchcockCrime Drama Thriller
Shadow Of The Vampire,E. Elias MerhigeDrama Horror
Shadows And Fog,Woody AllenThriller Comedy
Shaft,John SingletonAction Adventure Crime Thriller
Shaft,Gordon ParksAdventure Action Thriller Crime
Shakespeare In Love,John MaddenRomance History
Shalako,Edward DmytrykWestern
Shall We Dance,Mark SandrichComedy Music Romance
Shall We Dance?,Peter ChelsomDrama Romance Comedy
Shallow Grave,Danny BoyleCrime Thriller
Shallow Hal,Bobby FarrellyComedy Romance
Shallow Hal,Peter FarrellyComedy Romance
Shame,Ingmar BergmanWar Drama
Shame,Steve McQueenDrama
Shampoo,Hal AshbyComedy Drama Romance
Shane,George StevensDrama Western
Shanghai,Mikael HåfströmDrama Mystery Romance
Shanghai Kiss,Kern KonwiserComedy Drama Romance
Shanghai Kiss,David RenComedy Drama Romance
Shanghai Knights,David DobkinAction Adventure Comedy Western
Shanghai Noon,Tom DeyAdventure Action Comedy Western
Shaolin,Benny ChanAction Drama
Shaolin Soccer,Stephen ChowAction Comedy
Shaolin Wooden Men,Chen Chi-HwaAction
Shark Night,David R. EllisHorror Thriller
Shark Tale,Vicky JensonAnimation Action Comedy Family
Shark Tale,Bibo BergeronAnimation Action Comedy Family
Shark Tale,Rob LettermanAnimation Action Comedy Family
Sharkansas Women'S Prison Massacre,Jim WynorskiTV Movie Science Fiction Action Horror
Sharknado,Anthony C. FerranteTV Movie Horror
Sharknado 2: The Second One,Anthony C. FerranteThriller Horror Science Fiction
Sharknado 3: Oh Hell No!,Anthony C. FerranteTV Movie Horror Science Fiction
Sharknado 4: The 4Th Awakens,Anthony C. FerranteComedy Horror Science Fiction
Sharpay'S Fabulous Adventure,Michael LembeckFamily Music
Sharpe'S Challenge,Tom CleggAction Adventure War History
Sharpshooter,Armand MastroianniTV Movie Action Thriller
Shattered,Wolfgang PetersenMystery Thriller
Shattered Glass,Billy RayDrama History
Shaun Of The Dead,Edgar WrightHorror Comedy
Shaun The Sheep Movie,Mark BurtonFamily Animation Comedy Adventure
Shaun The Sheep Movie,Richard StarzackFamily Animation Comedy Adventure
She,Robert DayRomance Fantasy Adventure
She Hate Me,Spike LeeComedy Drama
She Wore A Yellow Ribbon,John FordWestern
She'S All That,Robert IscoveComedy Romance
She'S Funny That Way,Peter BogdanovichComedy
She'S Gotta Have It,Spike LeeComedy Romance
She'S Having A Baby,John HughesComedy Drama Romance
She'S Out Of My League,Jim Field SmithComedy Romance
She'S The Man,Andy FickmanComedy Drama Family Romance
She'S The One,Edward BurnsComedy Romance
She-Devil,Susan SeidelmanComedy
She-Wolf Of London,Jean YarbroughCrime Horror Mystery
Sheena,John GuillerminAction Adventure Comedy Fantasy Science Fiction
Sheep & Wolves,Maxim VolkovAdventure Animation Comedy Family Fantasy Romance
Sheep & Wolves,Andrey GalatAdventure Animation Comedy Family Fantasy Romance
Shelter,Jonah MarkowitzAction Drama Romance
Shelter,Måns MårlindHorror Mystery Thriller
Shelter,Björn SteinHorror Mystery Thriller
Shelter,Paul BettanyDrama
Shepherds And Butchers,Oliver SchmitzDrama
Sherlock Holmes,Guy RitchieAction Adventure Crime Mystery
Sherlock Holmes In Washington,Roy William NeillDrama Action Thriller Mystery
Sherlock Holmes: A Game Of Shadows,Guy RitchieAdventure Action Crime Mystery
"Sherlock, Jr.",Buster KeatonFantasy Drama Comedy Mystery
Shimmer Lake,Oren UzielThriller Crime Drama Mystery
Shin Godzilla,Hideaki AnnoAction Adventure Drama Horror Science Fiction
Shin Godzilla,Shinji HiguchiAction Adventure Drama Horror Science Fiction
Shine,Scott HicksDrama
Shining Through,David SeltzerDrama Romance Thriller
Shinjuku Incident,Derek Yee Tung-SingDrama Action Thriller Crime
Shinobi: Heart Under Blade,Ten ShimoyamaAction
Shiri,Kang Je-gyuAction Adventure Drama Thriller
Shivers,David CronenbergHorror Science Fiction
Shock Corridor,Samuel FullerDrama Mystery Thriller
Shock Waves,Ken WiederhornHorror
Shocker,Wes CravenThriller Comedy Horror
Shoot 'Em Up,Michael DavisAction Thriller Comedy Crime
Shoot The Piano Player,François TruffautDrama Thriller Crime
Shooter,Antoine FuquaAction Drama Mystery Thriller Crime
Shooting Dogs,Michael Caton-JonesDrama History
Shopgirl,Anand TuckerComedy Drama Romance
Short Circuit,John BadhamComedy Family Science Fiction
Short Circuit 2,Kenneth JohnsonComedy Family Science Fiction Drama
Short Cuts,Robert AltmanComedy Drama
Short Term 12,Destin CrettonDrama
Shortbus,John Cameron MitchellRomance Drama Comedy
Shorts,Robert RodriguezComedy Family
Shot Caller,Ric Roman WaughDrama Crime Thriller
Shotgun Stories,Jeff NicholsDrama Thriller
Show Me Love,Lukas MoodyssonComedy Romance Drama
Showdown In Little Tokyo,Mark L. LesterAction Thriller
Shower,Zhang YangComedy Drama Foreign
Showgirls,Paul VerhoevenDrama
Showtime,Tom DeyAction Comedy
Shrek,Andrew AdamsonAdventure Animation Comedy Family Fantasy
Shrek,Vicky JensonAdventure Animation Comedy Family Fantasy
Shrek 2,Andrew AdamsonAdventure Animation Comedy Family Fantasy
Shrek 2,Kelly AsburyAdventure Animation Comedy Family Fantasy
Shrek 2,Conrad VernonAdventure Animation Comedy Family Fantasy
Shrek Forever After,Mike MitchellComedy Adventure Fantasy Animation Family
Shrek The Halls,Gary TrousdaleAdventure Animation Comedy Fantasy Family
Shrek The Third,Chris MillerFantasy Adventure Animation Comedy Family
Shrek The Third,Raman HuiFantasy Adventure Animation Comedy Family
Shrew'S Nest,Juanfer AndrésHorror Thriller Drama
Shrew'S Nest,Esteban RoelHorror Thriller Drama
Shriek If You Know What I Did Last Friday The Thirteenth,John BlanchardComedy
Shrink,Jonas PateComedy Drama
Shrooms,Paddy BreathnachHorror
Shut In,Farren BlackburnDrama Thriller
Shutter,Masayuki OchiaiHorror Mystery Thriller
