title,text
A View To A Kill,John GlenAdventure Action Thriller
A Walk Among The Tombstones,Scott FrankCrime Drama Mystery Thriller
A Walk In The Clouds,Alfonso AráuDrama Romance
A Walk In The Sun,Lewis MilestoneWar Drama
A Walk In The Woods,Ken KwapisAdventure Comedy Drama
A Walk On The Moon,Tony GoldwynDrama Romance
A Walk To Remember,Adam ShankmanDrama Romance
A War,Tobias LindholmDrama War
A Warrior'S Heart,Michael F. SearsAction Drama Family
A Werewolf Boy,Jo Sung-heeFantasy Romance
A Woman Is A Woman,Jean-Luc GodardComedy Drama Romance
A Woman Under The Influence,John CassavetesRomance Drama
A Woman'S Face,George CukorDrama Thriller
A World Apart,Chris MengesDrama Foreign
A World Without Thieves,Feng XiaogangAction Drama
A.C.A.B.: All Cops Are Bastards,Stefano SollimaAction Drama Crime
A.C.O.D.,Stu ZichermanComedy
A.I. Artificial Intelligence,Steven SpielbergDrama Science Fiction Adventure
Aaja Nachle,Anil MehtaDrama Romance Foreign
Abattoir,Darren Lynn BousmanHorror Thriller
Abbott And Costello Go To Mars,Charles LamontComedy Fantasy Science Fiction
Abbott And Costello Meet Captain Kidd,Charles LamontAdventure Comedy
Abbott And Costello Meet Dr. Jekyll And Mr. Hyde,Charles LamontComedy Horror Science Fiction
Abbott And Costello Meet Frankenstein,Charles BartonComedy Horror
Abbott And Costello Meet The Invisible Man,Charles LamontComedy Horror
Abbott And Costello Meet The Mummy,Charles LamontComedy
Abcs Of Death 2,Rodney AscherHorror
Abcs Of Death 2,Bill PlymptonHorror
Abcs Of Death 2,Erik MattiHorror
Abcs Of Death 2,Lancelot Oduwa ImasuenHorror
Abcs Of Death 2,Kristina BuozyteHorror
Abcs Of Death 2,Bruno SamperHorror
Abcs Of Death 2,Vincenzo NataliHorror
Abcs Of Death 2,Larry FessendenHorror
Abcs Of Death 2,Julien MauryHorror
Abcs Of Death 2,Alexandre BustilloHorror
Abcs Of Death 2,E.L. KatzHorror
Abcs Of Death 2,Jen SoskaHorror
Abcs Of Death 2,Aharon KeshalesHorror
Abcs Of Death 2,Navot PapushadoHorror
Abcs Of Death 2,Julian GilbeyHorror
Abcs Of Death 2,Dennison RamalhoHorror
Abcs Of Death 2,Jerome SableHorror
Abcs Of Death 2,Robert MorganHorror
Abcs Of Death 2,Sylvia SoskaHorror
Abcs Of Death 2,Chris NashHorror
Abcs Of Death 2,Hajime OhataHorror
Abcs Of Death 2,Sôichi UmezawaHorror
Abcs Of Death 2,Todd RohalHorror
Abcs Of Death 2,Julian BarrattHorror
Abcs Of Death 2,Alejandro BruguésHorror
Abcs Of Death 2,Jim HoskingHorror
Abcs Of Death 2,Robert BoocheckHorror
Abcs Of Death 2,Marvin KrenHorror
Abcs Of Death 2,Juan Martínez MorenoHorror
Abcs Of Death 2,Steven KostanskiHorror
Abduction,John SingletonThriller Action Mystery
About A Boy,Chris WeitzDrama Comedy Romance
About A Boy,Paul WeitzDrama Comedy Romance
About Alex,Jesse ZwickDrama
About Cherry,Stephen ElliottDrama
About Elly,Asghar FarhadiDrama
About Last Night,Steve PinkComedy Romance
About Schmidt,Alexander PayneDrama Comedy
About Time,Richard CurtisComedy Drama Science Fiction
Above Suspicion,Richard ThorpeDrama Thriller
Above The Law,Andrew DavisAction Adventure Drama Thriller
Above The Rim,Jeff PollackCrime Drama
Abraham Lincoln Vs. Zombies,Richard SchenkmanHorror Action Thriller
Abraham Lincoln: Vampire Hunter,Timur BekmambetovAction Fantasy Horror
Absentia,Mike FlanaganMystery Horror Thriller
Absolon,David DeBartoloméAction
Absolute Power,Clint EastwoodCrime Drama Thriller
Absolutely Anything,Terry JonesComedy Science Fiction
Absolutely Fabulous: The Movie,Mandie FletcherComedy
Accepted,Steve PinkComedy
Accidental Love,David O. RussellRomance Comedy
Accidental Love,Stephen GreeneRomance Comedy
